age_at_enrollment,inflation_rate,gdp,marital_status_decoded,application_mode_decoded,course_decoded,daytimeevening_attendance_decoded,previous_qualification_decoded,nationality_decoded,mothers_qualification_decoded,fathers_qualification_decoded,mothers_occupation_decoded,fathers_occupation_decoded,gender_decoded,displaced_decoded,educational_special_needs_decoded,tuition_fees_up_to_date_decoded,debtor_decoded,scholarship_holder_decoded,international_decoded,total_credited,total_enrolled,total_evaluations,total_approved,weighted_avg_grade,y
20,0.6,2.02,Single,Specialized diploma,Advertising and Marketing Management,Daytime,Specialized course,Romanian,Specialized course,Secondary Education,Unskilled Workers,Administrative staff,Female,No,No,Yes,No,Yes,No,4,12,16,12,12.757812500000012,0
29,1.4,1.74,Single,Over 23 years old,Management,Evening,Higher education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,19,28,31,22,11.501466275659823,1
20,2.6,0.32,Single,2nd phase,Other,Daytime,Secondary education,Angolan,Specialized course,Some High School,"Skilled Workers in Industry, Construction, and Craftsmen",Other,Female,No,No,No,No,Yes,No,0,12,24,7,10.833333333333334,1
31,1.4,3.51,Other,Over 23 years old,Other,Daytime,Secondary education,Santomean,Specialized course,Secondary Education,Unskilled Workers,Armed Forces Professions,Female,No,No,No,Yes,No,No,0,14,17,11,12.631372549019622,1
20,1.4,1.74,Single,2nd phase,Advertising and Marketing Management,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen",Administrative staff,Female,No,Yes,Yes,No,No,No,0,12,16,12,13.291666666666693,0
21,2.8,-4.06,Single,2nd phase,Agronomy,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,23,31,35,31,11.73015873015875,0
23,0.5,1.79,Single,Holders of other higher courses,Equiniculture,Daytime,Higher education,Italian,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,12,0,0,0.0,1
21,1.4,1.74,Single,2nd phase,Design and Multimedia,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,No,Yes,No,No,0,12,14,8,12.200000000000001,1
24,0.3,-0.92,Single,Holders of other higher courses,Nursing,Daytime,Higher education,Italian,Secondary Education,Secondary Education,Unskilled Workers,Administrative staff,Female,No,No,Yes,No,No,No,7,15,16,15,16.24374999999998,0
27,2.8,-4.06,Single,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Secondary Education,Secondary Education,Administrative staff,Administrative staff,Female,No,No,Yes,No,No,No,1,12,12,12,12.41666666666665,0
18,-0.3,0.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,Female,No,No,Yes,No,Yes,No,0,15,17,15,14.352941176470612,0
19,2.6,0.32,Single,2nd phase,Equiniculture,Daytime,Secondary education,Angolan,Specialized course,Higher education,Intermediate Level Technicians and Professions,Other,Female,Yes,No,Yes,Yes,Yes,No,0,10,12,0,0.0,1
19,1.4,1.74,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,16,16,14,12.3557142857143,0
18,0.5,1.79,Single,2nd phase,Veterinary Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Other,Other,Female,No,No,Yes,No,No,No,0,12,0,0,0.0,1
20,1.4,3.51,Single,1st phase,Other,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Other,Other,Female,Yes,No,Yes,Yes,Yes,No,0,14,15,14,13.171428571428606,0
24,-0.8,-3.12,Married,1st phase,Social Service,Evening,Secondary education,Portuguese,Secondary Education,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,15,11,13.46666666666668,0
20,0.5,1.79,Single,1st phase,Design and Multimedia,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Other,Other,Female,Yes,No,Yes,No,No,No,0,12,16,12,11.791666666666675,0
19,3.7,-1.7,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,Yes,No,0,16,16,14,12.3571428571429,0
18,3.7,-1.7,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,Yes,No,0,16,16,14,13.8571428571429,0
20,-0.8,-3.12,Single,2nd phase,Social Service,Daytime,Higher education,Angolan,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,Yes,No,0,12,12,12,11.5,0
20,0.3,-0.92,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,No,No,0,15,18,15,13.37033509700179,0
19,0.6,2.02,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,15,18,14,12.679375,0
20,3.7,-1.7,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher education,Basic education or less,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,12,12,12,13.16666666666665,0
19,-0.3,0.79,Single,2nd phase,Management,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,Administrative staff,Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,0,10,26,4,10.432692307692308,1
19,-0.8,-3.12,Single,2nd phase,Other,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,21,8,11.821428571428571,1
18,-0.8,-3.12,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,Yes,No,0,16,16,16,13.73125,0
23,0.6,2.02,Single,2nd phase,Design and Multimedia,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,0,12,14,9,12.952380952380958,1
21,3.7,-1.7,Single,1st phase,Other,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,No,No,0,12,17,10,11.36470588235294,1
23,0.6,2.02,Single,Specialized diploma,Social Service,Evening,Specialized course,Romanian,Specialized course,Basic education or less,Other,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,Yes,No,Yes,No,No,No,8,17,20,15,11.1111111111111,0
19,-0.3,0.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,15,17,15,13.441176470588228,0
18,0.5,1.79,Single,2nd phase,Journalism and Communication,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,Yes,No,Yes,No,No,No,0,12,12,12,13.58333333333335,0
19,1.4,1.74,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,Yes,Yes,No,No,No,0,12,20,10,11.9,0
25,3.7,-1.7,Single,Over 23 years old,Nursing,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,0,16,16,14,12.0428571428571,0
19,-0.3,0.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,Yes,No,Yes,No,0,15,16,15,14.16875,0
24,3.7,-1.7,Single,Over 23 years old,Oral Hygiene,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Other,Other,Female,No,No,Yes,Yes,Yes,No,0,15,26,14,11.350000000000001,0
18,1.4,3.51,Single,1st phase,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,12,16,11,13.78125,0
19,0.3,-0.92,Single,2nd phase,Social Service,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,Yes,No,0,12,15,12,12.399999999999993,0
18,3.7,-1.7,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,0,16,24,14,12.6285714285714,0
19,2.8,-4.06,Single,2nd phase,Social Service,Daytime,Secondary education,Angolan,Secondary Education,Secondary Education,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",Female,No,No,Yes,No,No,No,0,12,24,10,11.416666666666666,0
18,3.7,-1.7,Single,3rd phase,Journalism and Communication,Daytime,Secondary education,Cape Verdean,Secondary Education,Secondary Education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Female,No,No,Yes,No,Yes,No,0,12,12,12,12.25,1
34,3.7,-1.7,Married,Over 23 years old,Advertising and Marketing Management,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Other,Female,No,No,No,Yes,No,No,0,12,13,4,7.269230769230769,1
20,1.4,3.51,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,No,Yes,No,No,0,12,0,0,0.0,1
26,1.4,1.74,Married,Over 23 years old,Management,Evening,Higher education,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,Yes,No,No,No,0,10,11,10,13.545454545454527,0
27,1.4,1.74,Single,Change in institution/course,Oral Hygiene,Daytime,Secondary education,Brazilian,Secondary Education,Basic education or less,Administrative staff,Intermediate Level Technicians and Professions,Female,No,No,Yes,No,No,No,1,15,19,15,12.746428571428558,0
20,-0.8,-3.12,Single,1st phase,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers",Other,Female,Yes,No,Yes,No,No,No,0,10,11,8,11.159090909090908,0
18,0.3,-0.92,Single,2nd phase,Social Service,Daytime,Secondary education,Angolan,Specialized course,Secondary Education,"Personal Services, Security and Safety Workers, and Sellers",Other,Female,Yes,No,Yes,No,No,No,0,12,15,12,15.866666666666651,0
24,3.7,-1.7,Single,Over 23 years old,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Secondary Education,Higher education,Administrative staff,Intermediate Level Technicians and Professions,Female,No,No,Yes,No,No,No,0,16,22,14,12.6142857142857,0
19,-0.3,0.79,Single,Specialized diploma,Social Service,Daytime,Specialized course,Romanian,Specialized course,Basic education or less,Other,Unskilled Workers,Female,Yes,No,Yes,No,Yes,No,5,12,13,11,11.876923076923076,0
19,1.4,1.74,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers, and Sellers",Female,No,No,Yes,No,No,No,0,12,23,8,11.423913043478262,0
22,0.3,-0.92,Single,Change in institution/course,Social Service,Evening,Secondary education,Other,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,Yes,No,No,No,27,29,29,24,11.161321437183515,0
20,3.7,-1.7,Single,Change in institution/course,Design and Multimedia,Daytime,Secondary education,Brazilian,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers",Armed Forces Professions,Female,No,No,Yes,No,No,No,0,12,15,10,12.4,0
25,0.6,2.02,Single,Over 23 years old,Agronomy,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,0,12,12,0,0.0,1
21,2.8,-4.06,Single,Specialized diploma,Agronomy,Daytime,Specialized course,Romanian,Secondary Education,Higher education,Administrative staff,Other,Female,No,No,Yes,No,No,No,0,12,14,12,15.642857142857128,0
18,-0.3,0.79,Single,2nd phase,Journalism and Communication,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,Administrative staff,Other,Female,Yes,No,Yes,No,No,No,0,12,13,12,13.076923076923107,0
18,2.6,0.32,Single,1st phase,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Other,Other,Female,Yes,No,Yes,No,No,No,0,10,14,7,12.625,0
19,-0.3,0.79,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Higher education,Higher education,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Male,Yes,No,Yes,No,No,No,0,15,17,15,13.935294117647036,0
19,1.4,1.74,Single,1st phase,Veterinary Nursing,Daytime,Secondary education,Portuguese,Higher education,Higher education,Other,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,Yes,No,Yes,No,Yes,Yes,0,10,11,10,15.672727272727274,0
18,1.4,1.74,Single,2nd phase,Journalism and Communication,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,No,Yes,No,No,0,12,18,9,11.975000000000001,1
20,0.5,1.79,Single,Change in institution/course,Social Service,Daytime,Specialized course,Other,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,12,22,22,22,13.181818181818151,0
19,0.5,1.79,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,Administrative staff,Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,No,No,0,15,0,0,0.0,1
28,0.3,-0.92,Single,Change in institution/course,Nursing,Daytime,Secondary education,Other,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,23,34,40,34,13.4707368421053,0
20,3.7,-1.7,Single,1st phase,Social Service,Daytime,Secondary education,Portuguese,Specialized course,Secondary Education,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,Yes,No,0,12,16,12,12.625,0
30,2.6,0.32,Single,Change in institution/course,Social Service,Evening,Secondary education,Other,Specialized course,Basic education or less,Other,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,14,18,26,16,13.78632478632475,1
19,0.5,1.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,15,18,15,11.9811507936508,0
22,3.7,-1.7,Single,1st phase,Design and Multimedia,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,0,12,14,11,12.43333333333335,0
18,0.6,2.02,Single,1st phase,Tourism,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,No,No,0,12,14,12,12.738095238095257,0
23,2.6,0.32,Single,2nd phase,Other,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,12,26,4,10.576923076923077,1
18,0.6,2.02,Single,2nd phase,Design and Multimedia,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,12,12,14.5,0
50,1.4,1.74,Married,Over 23 years old,Journalism and Communication,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Other,Other,Male,No,No,No,Yes,No,No,0,11,19,1,5.526315789473684,1
22,-0.3,0.79,Single,2nd phase,Tourism,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,Yes,0,12,13,12,10.756410256410255,0
23,0.5,1.79,Single,Specialized diploma,Social Service,Daytime,Specialized course,Romanian,Secondary Education,Secondary Education,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,No,No,Yes,Yes,Yes,Yes,5,12,13,12,13.538461538461517,0
20,3.7,-1.7,Single,3rd phase,Veterinary Nursing,Daytime,Secondary education,Cape Verdean,Secondary Education,Secondary Education,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",Female,No,No,No,Yes,Yes,No,2,10,14,10,14.228571428571428,1
44,-0.3,0.79,Other,Over 23 years old,Social Service,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Unskilled Workers,Armed Forces Professions,Female,No,No,No,No,No,No,0,12,0,0,0.0,1
49,2.8,-4.06,Other,Over 23 years old,Agronomy,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,Yes,No,No,No,9,24,36,16,11.589506172839496,0
46,2.6,0.32,Married,Change in institution/course,Management,Evening,Secondary education,Brazilian,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,Yes,No,No,No,10,20,25,19,12.488000000000001,0
41,0.5,1.79,Single,Over 23 years old,Veterinary Nursing,Daytime,Specialized course,Santomean,Specialized course,Basic education or less,Other,Unskilled Workers,Male,Yes,No,No,No,No,No,5,5,5,5,11.79999999999998,1
18,-0.3,0.79,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Male,Yes,No,Yes,No,No,No,0,15,17,15,12.178308823529411,0
43,-0.8,-3.12,Other,Over 23 years old,Management,Evening,Secondary education,Santomean,Specialized course,Secondary Education,Unskilled Workers,Other,Male,No,No,Yes,No,No,No,0,10,11,10,13.0,0
70,1.4,1.74,Other,Over 23 years old,Management,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,No,Yes,No,No,0,10,14,0,0.0,1
48,2.8,-4.06,Other,Over 23 years old,Equiniculture,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Unskilled Workers,Administrative staff,Male,No,No,Yes,No,No,No,0,12,0,0,0.0,1
41,2.8,-4.06,Married,Change in institution/course,Agronomy,Daytime,Secondary education,Brazilian,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,Yes,No,No,No,30,32,32,32,12.562500000000012,0
35,0.3,-0.92,Single,Over 23 years old,Other,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Male,No,No,No,Yes,No,Yes,0,14,25,3,8.1,1
44,1.4,1.74,Married,Over 23 years old,Equiniculture,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Higher education,Secondary Education,Specialists in Intellectual and Scientific Activities,Unskilled Workers,Male,Yes,No,Yes,No,No,No,2,10,22,8,14.613636363636363,0
18,-0.3,0.79,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Higher education,Secondary Education,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Male,Yes,No,Yes,Yes,No,No,0,10,21,6,13.380952380952357,1
45,2.6,0.32,Married,1st phase,Social Service,Evening,Secondary education,Portuguese,Specialized course,Basic education or less,Other,Other,Male,Yes,No,Yes,No,No,No,0,12,13,12,13.666666666666698,0
22,0.5,1.79,Single,Specialized diploma,Agronomy,Daytime,Specialized course,Romanian,Secondary Education,Basic education or less,Unskilled Workers,Other,Male,Yes,No,Yes,No,No,No,0,12,23,11,12.176397515527944,0
39,-0.3,0.79,Single,Change in institution/course,Informatics Engineering,Daytime,Secondary education,Brazilian,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,Yes,No,No,No,0,10,21,4,17.158730158730144,1
49,1.4,3.51,Married,Over 23 years old,Management,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Unskilled Workers,Intermediate Level Technicians and Professions,Male,No,No,Yes,No,No,No,0,10,17,6,13.843137254901976,1
43,0.6,2.02,Single,Holders of other higher courses,Oral Hygiene,Daytime,Higher education,Italian,Higher education,Higher education,Specialists in Intellectual and Scientific Activities,Other,Male,Yes,No,Yes,No,No,No,5,5,5,5,13.6,1
32,2.6,0.32,Married,Over 23 years old,Management,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,Yes,No,Yes,No,No,No,0,10,10,0,0.0,1
47,1.4,1.74,Single,Over 23 years old,Social Service,Daytime,Other,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,Yes,No,No,No,6,16,16,16,13.875000000000012,0
37,0.3,-0.92,Married,Over 23 years old,Management,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,Yes,No,Yes,No,0,10,19,9,13.192982456140331,1
41,1.4,1.74,Married,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Secondary Education,Administrative staff,Installation and Machine Operators and Assembly Workers,Male,No,No,Yes,No,No,No,9,17,17,17,12.352941176470571,0
60,2.8,-4.06,Married,Over 23 years old,Agronomy,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Male,No,No,Yes,No,No,No,28,31,31,31,14.161290322580626,0
47,1.4,1.74,Married,Over 23 years old,Tourism,Daytime,Secondary education,Santomean,Secondary Education,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,Yes,No,No,No,12,20,20,20,15.199999999999994,0
50,0.5,1.79,Single,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,No,Yes,No,No,0,11,12,0,0.0,1
45,2.6,0.32,Married,Over 23 years old,Management,Evening,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Other,Other,Male,Yes,No,Yes,No,No,No,0,10,10,0,0.0,1
45,2.8,-4.06,Single,Over 23 years old,Informatics Engineering,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Male,No,No,No,Yes,No,No,0,10,10,0,0.0,1
33,2.6,0.32,Married,Over 23 years old,Veterinary Nursing,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Other,Other,Male,No,No,Yes,No,No,No,0,10,13,9,12.623076923076923,0
18,1.4,1.74,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Higher education,Higher education,Specialists in Intellectual and Scientific Activities,Other,Male,No,No,Yes,No,No,No,0,16,16,14,13.1057142857143,0
43,-0.8,-3.12,Married,Over 23 years old,Veterinary Nursing,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Other,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Male,No,No,Yes,No,No,No,0,10,13,10,13.846153846153847,0
44,3.7,-1.7,Single,Change in institution/course,Social Service,Evening,Secondary education,Brazilian,Specialized course,Basic education or less,Administrative staff,Armed Forces Professions,Male,No,No,Yes,No,No,No,18,24,29,24,11.9045092838196,0
29,2.6,0.32,Single,Over 23 years old,Equiniculture,Daytime,Other,Santomean,Some High School,Basic education or less,Other,Other,Male,No,No,Yes,No,No,No,0,10,10,0,0.0,1
53,3.7,-1.7,Other,Over 23 years old,Advertising and Marketing Management,Daytime,Secondary education,Santomean,Higher education,Secondary Education,Intermediate Level Technicians and Professions,Unskilled Workers,Male,No,No,No,Yes,No,No,0,12,17,3,9.274509803921546,1
35,0.3,-0.92,Single,Change in institution/course,Other,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Brazilian,Specialized course,Basic education or less,Administrative staff,Administrative staff,Male,No,No,Yes,Yes,No,No,4,19,29,9,12.413793103448295,1
33,1.4,1.74,Single,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Other,"Personal Services, Security and Safety Workers, and Sellers",Male,No,No,No,No,No,No,0,12,6,1,11.0,1
41,1.4,1.74,Single,Holders of other higher courses,Equiniculture,Daytime,Higher education,Italian,Specialized course,Basic education or less,Other,Armed Forces Professions,Male,No,No,No,No,No,No,0,10,18,0,0.0,1
51,-0.3,0.79,Other,Holders of other higher courses,Nursing,Daytime,Higher education,Italian,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,Yes,No,No,No,10,15,15,15,15.933333333333334,0
19,0.6,2.02,Single,Change in institution/course,Advertising and Marketing Management,Daytime,Secondary education,Other,Some High School,Higher education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Male,No,No,Yes,No,No,No,3,13,15,13,14.399999999999986,0
35,0.6,2.02,Single,Over 23 years old,Management,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,Yes,No,No,No,0,10,10,0,0.0,1
18,-0.3,0.79,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,No,Yes,Yes,No,0,12,26,8,12.070512820512835,1
21,-0.3,0.79,Single,Specialized diploma,Agronomy,Daytime,Specialized course,Romanian,Higher education,Secondary Education,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Male,No,No,Yes,No,No,No,0,12,23,10,11.915113871635606,0
21,-0.3,0.79,Single,1st phase,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Other,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Male,Yes,No,Yes,No,No,No,0,12,17,11,11.811764705882354,0
34,-0.8,-3.12,Married,Over 23 years old,Management,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,Yes,No,No,No,0,10,17,7,12.112745098039236,0
34,0.3,-0.92,Other,Over 23 years old,Equiniculture,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Other,"Skilled Workers in Industry, Construction, and Craftsmen",Male,Yes,No,Yes,No,No,No,0,12,15,0,0.0,1
